"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.21,0.35,0.16,0.1,218.86,142.27,1293.7,208.72,0.65,0.58,0.83,0.81,0.04,0.03,0.06,0.05,0.07,0.1,"6810","6810",10,10,3981,3981
0.1,0.14,0.03,0.05,18558.33,15902.09,11037.21,1696.15,0.03,0.11,0.04,0.13,0,0.01,0.01,0.02,0.9,0.83,"4101","4101",14,14,500,500
0.61,0.53,0.27,0.1,111.53,99.83,465.08,340.31,0.02,0.02,0.09,0.06,0.14,0.13,1.44,1.37,0.08,0.07,"3600","3600",13,13,4226,4226
0.09,0.1,0.34,0.23,208.3,150.17,188.45,314.94,0.44,0.37,0.73,0.59,0.02,0.09,0.06,0.26,0.14,0.14,"6810","6810",10,10,4300,4300
0.92,0.97,4.57,4.75,3591.49,3301.16,4120.55,6856.12,0,0,0,0,0.09,0.09,2.1,2.05,0.15,0.14,"2394","2394",10,10,11958,11958
0.1,0.06,0.01,-0.02,328.63,366.25,103.7,104.34,0.31,0.28,0.37,0.43,0.04,0.05,0.11,0.12,0.48,0.33,"4290","4290",16,16,205.5,205.5
0.9,0.91,-0.09,0.14,14.14,12.99,271.74,575.42,0,0,0.03,0.07,0,0.01,0.14,0.25,0.01,0,"5510","5510",23,23,333,333
0.03,0.22,0.21,0.68,264.83,277.32,53.26,36.65,0,0,0,0,0.86,0.88,135.99,112.29,0.03,0.03,"5510","5510",11,11,980,980
0.44,0.33,0,-0.01,1557.15,1610.23,567.67,534.4,0.01,0,0.05,0.02,0.01,0,0.01,0.01,0.54,0.53,"8299","8299",16,16,200,200
0.06,0.06,0.07,0.08,137.21,126.18,101.76,87.94,0.08,0.05,0.19,0.16,0.07,0.06,0.22,0.32,0.22,0.19,"5229","5229",11,11,268,268
0.01,0.01,0,0,177.09,165.18,118.3,124.57,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.92,0.93,"8299","8299",16,16,506.07,506.07
0.17,0.2,0.61,0.91,140.36,147.14,107.07,105.08,0,0,0,0,0.32,0.33,14.44,16.65,0.03,0.04,"7912","7912",16,16,1228,1228
0.23,0.23,0.38,0.37,75.95,66.44,104.11,97.36,0,0,0,0,0.1,0.07,1.64,1.19,0.03,0.03,"7990","7990",11,11,2850,2850
0.04,0.04,0.01,0.01,3.97,5.65,3.47,2.54,0.02,0.03,0.06,0.06,0.03,0.04,0.05,0.06,0.28,0.35,"4661","4661",11,11,272.6,272.6
0.07,0.06,0.03,0.03,182.32,259.92,301.57,379.18,0.12,0.06,0.18,0.09,0.07,0.09,0.11,0.13,0.46,0.5,"6810","6810",11,11,525,525
0.02,0.03,0.01,0.02,22.93,24.45,32.33,32.65,0.43,0.41,0.48,0.46,0.09,0.12,0.1,0.16,0.36,0.35,"4661","4661",11,11,550,550
0.05,0.05,0,0.01,440.29,904.97,215.42,576.36,0,0,0,0,0.02,0.02,0.05,0.04,0.55,0.55,"8299","8299",15,15,800,800
0.16,0.1,-0.02,-0.02,1423.05,1573.47,564.79,700.99,0.02,0,0.03,0,0.01,0.01,0.04,0.02,0.76,0.78,"4719","4719",12,12,550,550
0.07,0.01,0.03,0,114.99,161.58,2390.14,9369.04,0.52,0.56,0.55,0.63,0,0,0,0,0.12,0.3,"6810","6810",16,16,180,180
